wallet,tx_count,small_transfer_count,avg_gas_used,avg_tx_value,wallet_age_days,contract_interaction_count,is_sybil
0x0000000000000000000000000000000000000000,861,270,46476.88538100693,0.003392497409246926,496,214,1
0x0000000000000000000000000000000000000001,3445,3171,55230.29856408025,0.0030832393493312213,160,1685,0
0x0000000000000000000000000000000000000002,2392,1515,40222.21826611983,0.010211878735991624,2077,975,0
0x0000000000000000000000000000000000000003,2735,562,35722.070863966546,0.009640293195410071,1297,1528,1
0x0000000000000000000000000000000000000004,3891,646,33997.46149894088,0.0020555463000501246,1393,2139,0
0x0000000000000000000000000000000000000005,1479,1451,49474.39821046639,0.013670944562683003,64,205,0
0x0000000000000000000000000000000000000006,1586,1411,42088.63595004755,0.01582447595963595,1530,702,0
0x0000000000000000000000000000000000000007,162,13,20403.298761202244,0.02598560604548134,3372,39,0
0x0000000000000000000000000000000000000008,338,52,44608.16300148638,0.018680656303021674,522,40,0
0x0000000000000000000000000000000000000009,3885,64,40859.23471630814,0.00031519889671712415,2598,1367,0
0x000000000000000000000000000000000000000a,2696,1495,49305.84400771102,0.01862605575987146,2308,2088,0
0x000000000000000000000000000000000000000b,201,71,46777.67409673341,0.011936774498092592,3134,47,0
0x000000000000000000000000000000000000000c,3646,1751,49500.0539550718,0.006423999278552834,1600,960,0
0x000000000000000000000000000000000000000d,2691,1028,57265.16468575364,0.016477749897716575,2844,397,0
0x000000000000000000000000000000000000000e,4489,206,36013.61609984799,0.0022833487038373167,893,2790,0
0x000000000000000000000000000000000000000f,4192,1757,39391.35912525254,0.0030009162627800717,2308,1678,0
0x0000000000000000000000000000000000000010,1060,524,37878.385782883735,0.003516167170001257,2655,681,0
0x0000000000000000000000000000000000000011,3061,2693,35731.31205960277,0.012195783631763244,1673,1363,0
0x0000000000000000000000000000000000000012,1664,1529,36723.74816721997,0.047466255413267815,1438,1400,0
0x0000000000000000000000000000000000000013,2676,972,31384.01945751671,0.03942689943759667,3460,709,0
0x0000000000000000000000000000000000000014,4745,4413,36044.835484197065,0.008238171597248649,2028,3445,1
0x0000000000000000000000000000000000000015,1496,1256,37108.63143530058,0.010344795378289728,1883,441,0
0x0000000000000000000000000000000000000016,3582,3457,32416.72879481758,0.12185210224316896,728,2160,0
0x0000000000000000000000000000000000000017,855,735,44574.15648719142,0.04777721902178681,1691,129,0
0x0000000000000000000000000000000000000018,2778,1695,61587.28523363103,0.0016861913596482557,3285,122,0
0x0000000000000000000000000000000000000019,4390,2327,52317.783767161105,0.012708913363566797,227,1930,0
0x000000000000000000000000000000000000001a,609,200,30094.636748693116,0.0008325951958869041,689,402,0
0x000000000000000000000000000000000000001b,147,95,34337.02270397228,0.0020224247508671147,518,127,0
0x000000000000000000000000000000000000001c,2920,640,51692.076469526226,0.004690957197243977,1468,1634,0
0x000000000000000000000000000000000000001d,624,571,48733.16969089427,0.0060445245509656,2974,303,1
0x000000000000000000000000000000000000001e,4549,3108,38530.54607079627,0.006538754569534322,1712,2255,0
0x000000000000000000000000000000000000001f,3192,1696,41806.2297374022,0.0205462138713541,616,1648,1
0x0000000000000000000000000000000000000020,1446,103,42930.72473298681,0.00010148874103594005,1949,877,0
0x0000000000000000000000000000000000000021,2870,956,32856.48581973632,0.00507899734616049,190,1603,0
0x0000000000000000000000000000000000000022,1301,815,47699.77359930793,0.03783912154926802,430,639,0
0x0000000000000000000000000000000000000023,4556,954,52683.89522403902,0.0091683261441404,3476,1045,0
0x0000000000000000000000000000000000000024,3437,562,42766.90799330019,0.031676505053768,827,2331,0
0x0000000000000000000000000000000000000025,4549,3067,48271.83249036024,0.025635236061316076,688,3120,1
0x0000000000000000000000000000000000000026,1244,157,38758.676111183406,0.06801684032244112,3200,699,0
0x0000000000000000000000000000000000000027,191,159,47403.40817947739,0.0380945330495616,3357,66,1
0x0000000000000000000000000000000000000028,1817,1758,28522.80027175,0.005864981431388121,2567,1409,1
0x0000000000000000000000000000000000000029,3176,245,53896.028281465915,0.008909846846298983,1530,1705,0
0x000000000000000000000000000000000000002a,1842,920,32670.48864956277,0.00010396701635232642,65,684,1
0x000000000000000000000000000000000000002b,3848,2559,41953.46472546973,0.010109593019995072,2731,971,0
0x000000000000000000000000000000000000002c,1167,1115,24394.42927562731,0.022296427091014443,80,574,0
0x000000000000000000000000000000000000002d,1716,681,60003.48089106104,0.03458702739076272,1107,1002,1
0x000000000000000000000000000000000000002e,3125,1595,45495.76345062668,0.0017842205797979458,906,991,0
0x000000000000000000000000000000000000002f,4143,635,27291.281931239602,0.02507692839693404,1712,119,0
0x0000000000000000000000000000000000000030,3676,1081,32281.80922243245,0.003806130722842175,542,2849,0
0x0000000000000000000000000000000000000031,560,487,56613.01730608154,0.054548941400540236,926,271,0
0x0000000000000000000000000000000000000032,4800,1470,56554.61625378921,0.0009778420688258851,183,1679,1
0x0000000000000000000000000000000000000033,2745,1243,35370.74577936352,0.0009418875390504106,1038,2141,0
0x0000000000000000000000000000000000000034,3060,452,30730.69528421917,0.013530359315944665,580,1635,1
0x0000000000000000000000000000000000000035,1758,356,39404.746439382,0.010166732291664139,2599,1123,1
0x0000000000000000000000000000000000000036,3731,2489,71870.33338072969,0.02303796836328238,3117,2839,0
0x0000000000000000000000000000000000000037,4593,895,40841.63521007921,0.02023421621387373,881,1687,0
0x0000000000000000000000000000000000000038,3747,2427,42269.843012193494,0.03436714793472702,1321,3648,0
0x0000000000000000000000000000000000000039,3914,1066,37290.37737832261,0.004357925218809,2474,11,1
0x000000000000000000000000000000000000003a,3970,3324,42809.918677350324,0.0014769925389285406,805,2652,1
0x000000000000000000000000000000000000003b,1626,1021,33773.004801794064,0.03369061012371917,646,1219,0
0x000000000000000000000000000000000000003c,1517,1098,43620.139119424704,0.03253991611987957,2838,675,1
0x000000000000000000000000000000000000003d,2505,2239,45813.14134035724,0.017156879020564335,1152,1571,0
0x000000000000000000000000000000000000003e,2144,1687,41804.925054995474,0.005451846215694915,1578,872,1
0x000000000000000000000000000000000000003f,3953,2109,50710.41524117509,0.013725862097211246,758,1365,0
0x0000000000000000000000000000000000000040,396,232,35887.09409340186,0.06283870545960633,2812,383,0
0x0000000000000000000000000000000000000041,3578,1390,49840.2354456309,0.0017391601761713035,3170,3170,0
0x0000000000000000000000000000000000000042,2939,1492,47706.783295231115,0.031176620636974836,2186,1065,0
0x0000000000000000000000000000000000000043,3295,633,46670.561034697916,0.01165110549974567,1268,732,0
0x0000000000000000000000000000000000000044,4847,953,31777.796044335686,0.0017571104333721015,1706,1191,1
0x0000000000000000000000000000000000000045,2994,2842,42436.872114919126,0.0244999950626001,1570,2076,1
0x0000000000000000000000000000000000000046,2387,1519,42898.82811537126,0.0179243088557228,1857,1810,0
0x0000000000000000000000000000000000000047,2215,90,38127.75043651186,0.0057196478060784406,68,172,1
0x0000000000000000000000000000000000000048,1244,1081,48519.444675646846,0.034608435892898345,1988,1024,0
0x0000000000000000000000000000000000000049,4286,504,47683.39454305004,0.009395931558405344,3470,823,0
0x000000000000000000000000000000000000004a,134,57,42240.92481810417,0.0015332275190890988,1280,19,1
0x000000000000000000000000000000000000004b,1257,1166,40125.92400781795,0.012122555113539019,1426,655,0
0x000000000000000000000000000000000000004c,1354,735,38567.1674128292,0.0022579114592377577,402,1031,1
0x000000000000000000000000000000000000004d,4186,3719,33993.95318750415,0.008719070692334668,3279,539,0
0x000000000000000000000000000000000000004e,4137,3775,35051.065724347194,0.0065635131727720675,2066,2508,1
0x000000000000000000000000000000000000004f,925,908,39505.20447216802,0.04836602183998255,3354,389,0
0x0000000000000000000000000000000000000050,256,196,26797.667929793577,0.053980367230942364,3343,250,1
0x0000000000000000000000000000000000000051,1016,800,58314.58765854353,0.030065759705041443,2223,223,0
0x0000000000000000000000000000000000000052,4949,4158,51535.318720078685,0.01683672460664041,1663,2152,0
0x0000000000000000000000000000000000000053,385,310,36249.893716301856,0.040008522800066205,2030,196,0
0x0000000000000000000000000000000000000054,1461,1046,35499.345285207564,0.01197653654799729,1931,0,0
0x0000000000000000000000000000000000000055,717,445,46228.499323474985,0.0421108924368293,517,33,0
0x0000000000000000000000000000000000000056,1575,153,5218.307863634436,0.03560114299245341,3407,267,0
0x0000000000000000000000000000000000000057,236,132,37317.369380504875,0.0018512600491217117,792,56,0
0x0000000000000000000000000000000000000058,2815,1252,54890.451738844786,0.00478962986986887,793,2785,0
0x0000000000000000000000000000000000000059,1359,858,48778.25168480114,0.0019082497038761216,2047,1331,0
0x000000000000000000000000000000000000005a,1359,1019,42200.74328803621,0.023922862163943705,826,899,0
0x000000000000000000000000000000000000005b,3473,1353,21161.165107661065,0.02929963067293036,1905,3031,1
0x000000000000000000000000000000000000005c,4301,3818,21806.99550470071,0.015411946427764433,3284,3445,0
0x000000000000000000000000000000000000005d,900,359,49146.05515594085,0.023847569991109388,310,194,0
0x000000000000000000000000000000000000005e,667,92,40760.48039896385,0.005068165500281504,1058,465,0
0x000000000000000000000000000000000000005f,3901,2581,43529.59975538902,0.0018577181572073515,2722,2280,0
0x0000000000000000000000000000000000000060,3118,2593,36253.38671643856,0.007759855779798903,2871,2296,1
0x0000000000000000000000000000000000000061,2262,1079,31813.2301468142,0.04136269396976181,2908,47,1
0x0000000000000000000000000000000000000062,2056,624,41781.28425761065,0.01538288963150888,85,725,0
0x0000000000000000000000000000000000000063,4124,2125,40356.35459850456,0.012417822184418352,394,1646,0
0x0000000000000000000000000000000000000064,1532,1297,55237.87410193808,0.005553856065213066,1684,484,0
0x0000000000000000000000000000000000000065,1063,85,15432.529431365208,0.007934984604639653,2889,536,0
0x0000000000000000000000000000000000000066,3284,2072,50553.30996546415,0.013800728436977702,2188,2275,0
0x0000000000000000000000000000000000000067,4719,4007,46536.342613353234,0.011300692987659643,2672,2472,0
0x0000000000000000000000000000000000000068,2740,1305,25847.97480482485,0.013792974061458947,2019,1312,1
0x0000000000000000000000000000000000000069,2325,1733,45954.01135710423,0.009093847175452472,2701,1630,0
0x000000000000000000000000000000000000006a,1161,758,41739.663291695695,0.04987384979041711,1900,645,0
0x000000000000000000000000000000000000006b,2552,2021,49078.71947242427,0.02209119197363567,1494,193,0
0x000000000000000000000000000000000000006c,1142,835,42797.57349786709,0.005552251671392117,588,0,1
0x000000000000000000000000000000000000006d,4416,1573,12590.451555402982,0.017409061365848872,168,2026,0
0x000000000000000000000000000000000000006e,902,689,60670.4400175138,0.015922299216936792,2975,12,0
0x000000000000000000000000000000000000006f,1620,320,20550.607096292504,0.002989145601894921,2406,784,1
